recno,xpos,ypos,Vmag,e_Vmag,V-I,e_V-I,ID
1527,302.094,239.981,20.813,0.025,0.707,0.034,21797.02
1528,675.258,237.109,24.482,0.178,1.246,0.23,21798.0
1529,176.11,237.485,20.344,0.027,0.692,0.037,21800.0
1530,251.241,239.253,23.464,0.13,1.126,0.141,21803.0
1531,344.751,238.856,19.828,0.037,0.736,0.038,21804.0
1532,348.121,238.946,20.909,0.036,0.726,0.041,21804.01
1533,731.699,239.193,22.903,0.099,0.985,0.179,21806.0
1534,731.542,242.356,24.01,0.103,1.217,0.238,21806.01
1535,733.37,243.849,23.568,0.127,1.1,0.166,21806.02
1536,118.592,239.599,21.975,0.04,0.837,0.055,21808.0
1537,187.099,240.27,23.782,0.099,1.197,0.117,21809.0
1538,572.474,239.853,21.089,0.028,0.721,0.035,21813.0
1539,576.532,243.195,23.123,0.067,0.992,0.094,21813.01
1540,583.89,243.389,17.683,0.029,0.991,0.044,21813.02
1541,585.336,243.552,20.968,0.156,0.541,0.173,21813.04
1542,679.673,240.221,23.799,0.122,1.208,0.155,21814.0
1543,47.445,240.539,22.31,0.113,0.908,0.121,21815.0
1544,328.147,240.83,21.343,0.043,0.77,0.046,21819.0
1545,530.46,240.748,23.894,0.185,1.057,0.286,21823.0
1546,355.396,241.901,23.08,0.086,1.073,0.095,21824.0
1547,363.223,242.552,19.169,0.012,0.91,0.013,21824.01
1548,365.341,244.134,21.437,0.074,0.791,0.087,21824.02
1549,459.102,241.856,20.742,0.015,0.738,0.024,21825.0
1550,462.589,242.671,23.122,0.049,1.034,0.07,21825.01
1551,465.195,242.961,22.406,0.051,0.923,0.082,21825.02
1552,467.767,247.729,22.164,0.044,0.913,0.057,21825.03
1553,471.193,251.414,21.604,0.032,0.89,0.119,21825.04
1554,470.904,244.925,24.776,0.429,1.375,0.441,21825.05
1555,445.077,242.742,19.543,0.015,0.77,0.038,21831.0
1556,513.236,242.772,19.488,0.01,0.794,0.041,21834.0
1557,509.957,244.046,25.94,0.0,2.01,0.067,21834.01
1558,605.638,243.157,20.467,0.009,0.617,0.022,21836.0
1559,615.055,242.624,24.62,0.177,1.472,0.221,21837.0
1560,39.785,243.546,23.666,0.063,1.075,0.124,21838.0
1561,127.694,243.945,22.276,0.035,0.948,0.227,21840.0
1562,567.072,244.003,24.718,0.167,1.406,0.247,21842.0
1563,562.8,246.283,22.454,0.039,0.981,0.046,21842.01
1564,705.317,243.991,21.63,0.037,0.771,0.065,21844.0
1565,143.149,245.446,22.83,0.052,0.983,0.079,21846.0
1566,143.629,247.948,24.42,0.092,1.493,0.141,21846.01
1567,182.026,245.38,23.496,0.107,1.07,0.278,21847.0
1568,182.67,248.871,22.108,0.053,0.8,0.119,21847.01
1569,186.804,252.186,23.681,0.106,1.056,0.12,21847.02
1570,251.692,244.981,22.416,0.064,0.91,0.077,21848.0
1571,391.539,245.106,22.022,0.05,0.837,0.071,21850.0
1572,391.955,249.354,24.535,0.245,1.355,0.272,21850.01
1573,397.748,244.833,23.975,0.167,1.255,0.229,21851.0
1574,674.603,245.275,21.388,0.025,0.781,0.034,21853.0
1575,6.425,245.849,21.679,0.17,0.91,0.218,21854.0
1576,148.973,245.62,21.479,0.034,0.843,0.115,21855.0
1577,378.946,246.003,21.239,0.015,0.828,0.145,21858.0
1578,382.518,248.857,24.544,0.176,1.267,0.229,21858.01
1579,103.787,247.1,21.52,0.034,0.79,0.05,21862.0
1580,120.556,247.265,21.806,0.039,0.835,0.048,21863.01
1581,621.587,246.905,20.556,0.019,0.761,0.053,21866.0
1582,156.017,248.113,23.712,0.132,1.264,0.162,21868.0
1583,202.1,247.551,24.352,0.218,1.309,0.288,21869.0
1584,284.023,247.699,19.93,0.012,0.714,0.017,21870.0
1585,280.69,250.083,24.129,0.138,1.239,0.247,21870.01
1586,426.781,247.596,22.207,0.043,0.954,0.055,21871.0
1587,429.96,250.026,22.516,0.047,0.954,0.073,21871.01
1588,433.42,250.039,22.655,0.032,0.947,0.04,21871.02
1589,76.453,248.851,23.178,0.046,1.035,0.115,21874.0
1590,406.13,249.234,21.867,0.136,0.824,0.151,21878.0
1591,92.419,250.435,21.206,0.048,0.746,0.076,21880.0
1592,272.495,250.107,23.861,0.134,1.068,0.152,21881.0
1593,273.63,254.413,21.956,0.036,0.8,0.068,21881.01
1594,631.182,250.076,24.776,0.373,1.589,0.393,21886.0
1595,633.91,253.134,19.996,0.016,0.691,0.02,21886.01
1596,639.482,255.365,21.631,0.02,0.862,0.165,21886.02
1597,644.954,256.714,22.314,0.023,1.011,0.181,21886.03
1598,325.3,250.896,22.773,0.056,0.985,0.063,21887.0
1599,325.431,255.33,23.174,0.106,1.082,0.12,21887.01
1600,418.187,250.613,21.653,0.03,0.808,0.056,21888.0
1601,414.683,252.598,24.77,0.235,1.279,0.325,21888.01
1602,422.067,254.406,21.557,0.038,0.832,0.063,21888.02
1603,49.383,252.362,20.776,0.041,0.755,0.048,21889.0
1604,251.913,251.674,21.896,0.049,0.87,0.056,21891.0
1605,491.353,251.982,24.322,0.195,1.362,0.214,21893.0
1606,532.372,251.948,23.406,0.066,0.86,0.18,21894.0
1607,234.283,253.329,24.423,0.094,1.209,0.183,21896.0
1608,235.13,256.143,24.838,0.138,1.328,0.208,21896.01
1609,236.199,258.691,23.341,0.041,1.276,0.087,21896.02
1610,240.078,260.318,23.062,0.053,1.068,0.143,21896.03
1611,333.316,252.703,21.198,0.017,0.854,0.035,21898.0
1612,669.338,252.176,19.404,0.014,0.807,0.024,21901.0
1613,669.695,257.422,20.166,0.021,0.677,0.029,21901.01
1614,749.426,253.256,23.681,0.118,1.148,0.135,21902.0
1615,15.866,254.757,21.713,0.038,0.824,0.051,21906.0
1616,69.32,255.16,22.264,0.05,0.977,0.092,21907.0
1617,196.243,255.177,20.886,0.019,0.737,0.066,21908.0
1618,465.077,254.88,22.491,0.053,0.956,0.069,21910.0
1619,306.459,255.489,20.371,0.009,0.706,0.025,21912.0
1620,308.837,259.57,23.535,0.07,1.234,0.098,21912.01
1621,510.721,255.58,22.764,0.199,1.009,0.2,21913.0
1622,690.583,255.677,24.386,0.204,1.431,0.223,21915.0
1623,109.925,257.328,24.237,0.188,1.293,0.225,21916.0
1624,107.68,260.132,20.784,0.028,0.77,0.036,21916.01
1625,113.023,259.785,20.884,0.025,0.784,0.111,21916.02
1626,117.014,259.971,24.802,0.237,1.12,0.279,21916.04
1627,117.088,258.051,24.454,0.255,1.514,0.292,21916.05
1628,216.679,257.173,22.561,0.065,0.944,0.077,21917.0
1629,216.116,262.374,19.834,0.013,0.737,0.023,21917.01
1630,209.25,261.011,23.756,0.086,1.161,0.186,21917.02
1631,299.235,256.538,23.055,0.506,1.132,0.527,21918.0
1632,506.117,257.111,24.093,0.143,1.294,0.19,21919.0
1633,45.282,257.507,23.148,0.127,1.073,0.163,21922.0
1634,126.994,257.827,22.828,0.053,0.959,0.13,21924.0
1635,412.05,257.892,22.176,0.105,0.916,0.111,21926.0
1636,572.996,257.414,22.12,0.024,0.978,0.033,21927.0
1637,570.721,265.043,23.893,0.105,1.248,0.168,21927.02
1638,23.78,258.707,22.593,0.055,0.949,0.063,21928.0
1639,148.668,259.122,20.99,0.042,0.723,0.047,21929.0
1640,491.306,259.009,24.193,0.151,1.347,0.195,21932.0
1641,542.653,258.766,24.319,0.184,1.285,0.223,21934.0
1642,260.838,260.418,22.117,0.043,0.989,0.182,21939.0
1643,680.155,259.865,21.645,0.047,0.879,0.113,21940.0
1644,677.055,263.272,20.614,0.096,0.696,0.099,21940.01
1645,675.358,269.072,21.516,0.022,0.879,0.026,21940.02
1646,669.64,267.999,22.171,0.046,0.89,0.052,21940.03
1647,55.678,260.569,21.892,0.019,0.817,0.05,21941.0
1648,75.771,261.185,23.827,0.125,1.066,0.287,21942.0
1649,313.745,260.857,24.505,0.246,1.414,0.299,21944.0
1650,313.43,262.815,24.428,0.252,1.661,0.295,21944.01
1651,512.118,261.766,23.688,0.131,1.24,0.474,21946.0
1652,532.953,261.192,24.385,0.24,1.356,0.257,21947.0
1653,534.671,258.993,24.123,0.219,1.607,0.292,21947.01
1654,649.698,260.918,24.203,0.111,1.237,0.166,21948.0
1655,19.417,261.586,23.462,0.086,1.028,0.101,21949.0
1656,87.897,261.554,21.344,0.024,0.752,0.038,21950.0
1657,283.377,262.181,24.18,0.127,1.366,0.566,21952.0
1658,391.206,261.927,23.089,0.075,1.061,0.093,21953.0
1659,387.002,264.834,21.723,0.034,0.871,0.051,21953.01
1660,427.224,261.248,19.008,0.013,0.926,0.02,21954.0
1661,422.353,264.425,23.892,0.095,1.205,0.217,21954.01
1662,552.048,261.68,24.874,0.101,1.341,0.199,21955.0
1663,558.597,253.83,22.918,0.045,1.279,0.094,21955.01
1664,580.184,262.357,21.111,0.012,0.754,0.028,21957.0
1665,623.276,262.258,21.859,0.021,0.875,0.036,21958.0
1666,695.479,261.783,22.384,0.08,0.971,0.099,21959.0
1667,100.393,263.107,23.379,0.157,1.222,0.162,21960.0
1668,180.957,262.745,21.242,0.031,0.778,0.046,21961.0
1669,180.691,265.073,20.827,0.025,0.728,0.036,21961.01
1670,180.136,267.831,20.057,0.009,0.69,0.016,21961.02
1671,265.89,263.458,22.774,0.059,1.161,0.082,21962.0
1672,666.018,263.124,24.044,0.152,1.245,0.193,21964.0
1673,68.804,263.536,24.7,0.238,1.367,0.457,21966.0
1674,71.862,264.318,23.629,0.046,1.023,0.201,21966.01
1675,34.841,264.968,23.147,0.06,0.996,0.082,21971.0
1676,51.065,265.325,23.067,0.093,0.968,0.112,21972.0
1677,139.026,265.054,21.577,0.223,0.724,0.225,21973.0
1678,134.543,266.313,21.763,0.034,0.799,0.043,21973.01
1679,448.956,264.942,23.52,0.248,1.147,0.272,21977.0
1680,543.079,265.378,21.259,0.018,0.782,0.039,21978.0
1681,609.001,266.343,20.703,0.027,0.719,0.029,21983.0
1682,610.37,271.002,22.394,0.08,0.959,0.114,21983.01
1683,254.339,266.814,20.952,0.055,0.726,0.081,21984.0
1684,304.834,266.813,18.792,0.012,0.943,0.015,21985.0
1685,305.719,272.378,21.601,0.029,1.026,0.05,21985.01
1686,335.35,267.049,20.915,0.03,0.863,0.032,21986.0
1687,104.488,268.283,20.172,0.008,0.735,0.026,21987.0
1688,108.273,269.022,23.958,0.017,1.146,0.091,21987.01
1689,78.233,268.936,24.447,0.147,1.176,0.202,21990.0
1690,160.878,269.198,24.069,0.215,1.17,0.286,21992.0
1691,493.093,269.358,20.97,0.021,0.761,0.034,21994.0
1692,487.842,271.921,21.965,0.05,0.832,0.054,21994.01
1693,494.638,273.608,21.103,0.033,1.451,0.034,21994.02
1694,500.668,274.05,21.595,0.021,0.825,0.037,21994.03
1695,478.393,274.71,22.198,0.036,0.94,0.049,21994.04
1696,480.356,275.83,21.882,0.049,0.851,0.05,21994.05
1697,485.347,276.691,21.56,0.029,0.878,0.041,21994.06
1698,489.414,278.057,23.847,0.177,2.131,0.181,21994.07
1699,519.369,269.154,25.16,0.145,1.695,0.165,21995.0
1700,550.051,269.288,21.356,0.034,0.782,0.044,21996.0
1701,718.047,268.754,22.605,0.232,1.032,0.24,21998.0
1702,4.207,269.766,24.374,0.247,1.161,0.34,21999.0
1703,9.125,270.651,24.185,0.545,1.193,0.554,22002.0
1704,438.039,271.083,24.051,0.742,1.079,0.762,22003.0
1705,452.621,270.706,23.079,0.114,1.1,0.155,22004.0
1706,592.704,270.733,23.149,0.082,1.028,0.128,22005.0
1707,626.035,271.015,20.839,0.018,0.717,0.024,22007.0
1708,96.889,271.917,23.739,0.112,1.147,0.228,22010.0
1709,344.318,271.323,19.1,0.009,0.92,0.016,22011.0
1710,338.888,278.243,23.068,0.079,1.025,0.101,22011.01
1711,388.197,271.616,21.408,0.046,0.781,0.084,22012.0
1712,393.221,272.735,20.058,0.014,0.697,0.042,22012.01
1713,528.043,271.75,24.291,0.107,1.815,0.151,22014.0
1714,528.276,276.529,18.624,0.01,1.048,0.014,22014.01
1715,634.177,272.417,21.425,0.051,0.783,0.056,22015.0
1716,56.184,273.023,23.224,0.081,0.986,0.151,22016.0
1717,126.087,272.667,23.271,0.055,1.086,0.088,22017.0
1718,267.935,272.993,22.921,0.089,0.984,0.136,22018.0
1719,365.296,272.582,21.094,0.031,0.84,0.036,22020.0
1720,377.566,273.342,23.956,0.058,2.704,0.067,22021.0
1721,115.728,273.608,24.313,0.207,1.351,0.251,22024.0
1722,111.103,274.793,22.801,0.117,1.173,0.211,22024.01
1723,729.284,274.16,22.746,0.227,1.027,0.236,22028.0
1724,25.946,274.736,22.335,0.027,0.973,0.069,22030.0
1725,28.174,283.485,18.343,0.012,0.805,0.016,22030.01
1726,33.033,284.158,22.333,0.057,0.956,0.109,22030.02
1727,26.049,289.399,23.108,0.114,1.028,0.168,22030.03
1728,260.655,274.564,23.273,0.049,0.938,0.178,22032.0
1729,406.934,274.61,22.679,0.197,1.056,0.208,22033.0
1730,428.551,275.016,24.311,0.102,1.209,0.143,22034.0
1731,511.361,274.946,23.283,0.078,1.058,0.108,22037.0
1732,508.59,277.72,20.645,0.022,0.72,0.028,22037.01
1733,192.15,275.836,19.206,0.025,0.894,0.032,22038.0
1734,192.482,283.262,22.244,0.042,0.922,0.053,22038.01
1735,188.55,285.924,20.001,0.015,0.713,0.021,22038.02
1736,189.939,276.875,21.849,0.07,0.916,0.081,22038.03
1737,217.907,275.585,23.703,0.135,1.425,0.15,22039.0
1738,243.587,276.483,22.384,0.063,0.894,0.087,22040.0
1739,359.084,275.72,23.734,0.054,1.201,0.121,22042.0
1740,42.046,277.465,22.496,0.054,0.865,0.071,22045.0
1741,46.144,280.337,22.498,0.05,0.928,0.076,22045.01
1742,49.153,280.97,22.092,0.063,0.923,0.073,22045.02
1743,284.829,277.333,24.462,0.169,1.37,0.183,22046.0
1744,567.54,276.994,24.235,0.241,1.152,0.249,22051.0
1745,657.862,277.332,18.51,0.008,0.952,0.009,22052.0
1746,662.623,282.252,22.3,0.06,0.961,0.071,22052.01
1747,655.465,285.001,23.619,0.167,1.107,0.177,22052.02
1748,734.135,276.764,25.768,0.302,1.585,0.312,22053.0
1749,154.18,278.315,21.662,0.029,0.792,0.051,22054.0
1750,585.615,277.671,23.803,0.159,1.265,0.194,22058.0
1751,5.02,279.113,23.366,0.054,0.857,0.191,22059.0
1752,56.877,278.568,24.415,0.22,1.356,0.259,22060.0
1753,276.106,278.621,21.97,0.037,0.857,0.044,22061.0
1754,278.054,280.955,24.609,0.201,1.39,0.234,22061.01
1755,331.271,278.815,22.238,0.029,1.001,0.053,22062.0
1756,420.504,279.3,20.928,0.058,0.747,0.071,22063.0
1757,600.962,279.369,20.021,0.016,0.701,0.026,22065.0
1758,260.077,280.262,24.343,0.153,1.142,0.218,22067.0
1759,291.932,279.905,22.671,0.105,0.852,0.206,22068.0
1760,366.061,279.968,23.61,0.127,1.231,0.14,22069.0
1761,411.886,280.109,24.507,0.205,1.226,0.261,22070.0
1762,411.563,282.457,22.814,0.062,0.928,0.118,22070.01
1763,688.387,280.061,22.926,0.18,1.118,0.187,22071.0
1764,107.837,281.284,23.068,0.071,1.043,0.083,22073.0
1765,253.533,281.002,24.092,0.121,1.365,0.129,22074.0
1766,250.653,284.04,24.418,0.125,1.251,0.138,22074.01
1767,267.025,280.856,25.405,0.0,2.515,0.16,22075.0
1768,632.758,280.72,20.79,0.039,0.8,0.1,22079.0
1769,15.095,281.613,25.23,0.276,2.166,0.336,22080.0
1770,17.759,281.718,24.308,0.16,1.05,0.233,22080.01
1771,10.365,285.028,24.728,0.066,2.087,0.127,22080.02
1772,17.954,286.023,21.94,0.032,0.704,0.063,22080.03
1773,80.658,282.263,22.308,0.049,0.872,0.075,22082.0
1774,80.017,286.034,21.568,0.026,0.774,0.042,22082.01
1775,406.332,281.996,24.935,0.296,1.508,0.336,22083.0
1776,407.432,286.607,21.653,0.044,0.799,0.054,22083.01
1777,402.12,287.093,24.792,0.282,1.313,0.292,22083.02
1778,452.729,282.47,22.804,0.054,0.931,0.147,22085.0
1779,496.929,282.106,20.621,0.025,0.701,0.03,22086.0
1780,67.876,283.237,24.364,0.159,1.087,0.226,22088.0
1781,224.921,282.82,24.651,0.208,1.207,0.241,22090.0
1782,677.223,282.976,21.485,0.075,0.821,0.08,22091.0
1783,556.935,284.727,19.352,0.017,0.861,0.035,22098.0
1784,622.174,283.684,24.824,0.159,1.375,0.183,22099.0
1785,142.798,284.616,22.864,0.092,0.98,0.125,22100.0
1786,100.266,285.789,22.223,0.04,0.915,0.093,22105.0
1787,387.416,286.249,21.49,0.025,0.729,0.111,22107.0
1788,387.629,292.119,21.309,0.023,0.725,0.108,22107.01
1789,515.121,286.264,23.087,0.112,0.967,0.275,22109.0
1790,542.716,285.92,22.446,0.092,0.935,0.099,22110.0
1791,539.807,287.384,21.508,0.057,0.771,0.07,22110.01
1792,171.059,286.275,18.065,0.009,0.895,0.017,22111.0
1793,172.981,293.979,22.018,0.031,0.846,0.058,22111.01
1794,284.348,287.11,24.863,0.206,1.527,0.224,22112.0
1795,287.503,288.52,20.884,0.042,0.86,0.044,22112.01
1796,594.346,286.654,21.569,0.04,0.687,0.048,22116.0
1797,432.246,288.378,23.193,0.058,1.038,0.098,22118.0
1798,435.551,288.764,24.144,0.14,1.204,0.174,22118.01
1799,439.403,289.785,22.041,0.052,0.831,0.067,22118.02
1800,441.414,290.968,21.701,0.034,0.822,0.039,22118.03
1801,461.075,287.948,22.72,0.073,0.946,0.103,22119.0
1802,50.862,289.103,22.779,0.04,0.984,0.066,22123.0
1803,95.219,289.274,24.009,0.158,1.138,0.295,22124.0
1804,612.112,289.014,22.698,0.047,0.885,0.084,22126.0
1805,621.398,289.031,24.26,0.083,1.235,0.192,22127.0
1806,117.132,289.953,23.202,0.075,1.069,0.089,22129.0
1807,116.046,296.497,19.797,0.071,0.761,0.075,22129.01
1808,116.0,298.0,22.566,0.835,1.005,0.845,22129.05
1809,215.697,290.413,21.594,0.047,0.777,0.064,22130.0
1810,369.307,289.624,20.323,0.021,0.741,0.022,22131.0
1811,375.171,290.948,22.085,0.024,0.851,0.031,22131.01
1812,378.336,291.454,21.657,0.034,0.831,0.055,22131.02
1813,379.986,295.551,23.529,0.156,1.11,0.171,22131.03
1814,380.284,300.39,23.184,0.057,1.012,0.094,22131.04
1815,381.435,302.998,21.291,0.018,0.752,0.036,22131.05
1816,377.955,303.837,21.559,0.019,0.849,0.041,22131.06
1817,381.307,308.561,21.195,0.027,0.795,0.095,22131.07
1818,376.506,310.422,20.062,0.019,0.705,0.048,22131.08
1819,533.566,291.16,23.985,0.057,1.173,0.087,22136.0
1820,537.288,294.213,23.578,0.083,1.079,0.113,22136.01
1821,734.326,291.503,23.939,0.105,1.335,0.116,22137.0
1822,71.214,291.781,23.821,0.14,1.088,0.153,22138.0
1823,128.038,292.034,22.399,0.062,0.977,0.096,22139.0
1824,293.854,291.608,22.287,0.143,0.716,0.325,22140.0
1825,497.275,291.861,21.721,0.073,0.769,0.085,22142.0
1826,629.221,292.125,20.289,0.047,0.781,0.048,22143.0
1827,15.273,293.485,21.543,0.058,0.722,0.085,22145.0
1828,161.392,292.763,20.517,0.012,0.756,0.133,22146.0
1829,309.813,292.917,23.828,0.143,1.176,0.161,22147.0
1830,420.21,293.282,24.878,0.142,2.732,0.173,22148.0
1831,506.64,293.352,20.052,0.01,0.736,0.014,22149.0
1832,511.677,296.84,21.979,0.052,0.854,0.056,22149.01
1833,24.991,294.987,24.818,0.248,1.325,0.292,22152.0
1834,20.869,298.41,20.067,0.017,0.718,0.025,22152.01
1835,23.917,299.719,24.1,0.072,1.219,0.11,22152.02
1836,84.059,294.151,20.24,0.018,0.682,0.026,22153.0
1837,425.992,295.238,21.356,0.02,0.782,0.034,22154.0
1838,426.313,298.188,19.961,0.024,0.715,0.029,22154.01
1839,449.137,295.055,23.146,0.467,0.939,0.483,22155.0
1840,451.988,295.84,23.061,0.059,0.997,0.086,22155.01
1841,558.82,294.898,24.339,0.299,1.348,0.342,22156.0
1842,721.91,294.711,23.617,0.112,1.046,0.13,22158.0
1843,716.893,300.181,17.897,0.01,0.955,0.013,22158.01
1844,98.892,296.462,21.532,0.033,0.736,0.074,22159.0
1845,94.202,297.754,23.583,0.142,1.202,0.252,22159.01
1846,133.705,296.201,20.794,0.017,0.694,0.067,22160.0
1847,130.705,302.013,22.318,0.029,0.861,0.068,22160.01
1848,255.133,295.648,21.248,0.024,0.771,0.029,22161.0
1849,606.237,302.933,24.07,0.245,1.108,1.028,22164.01
1850,606.605,309.042,20.525,0.012,0.697,0.025,22164.02
1851,602.973,307.466,24.094,0.133,1.445,0.164,22164.03
1852,62.883,296.588,23.572,0.093,1.075,0.145,22165.0
1853,366.924,297.132,24.566,0.212,1.32,0.251,22167.0
1854,365.84,300.982,23.749,0.078,2.299,0.087,22167.01
1855,458.444,297.255,22.577,0.051,0.909,0.06,22169.0
1856,460.257,300.902,22.23,0.041,0.867,0.047,22169.01
1857,520.902,296.655,20.842,0.028,0.723,0.039,22172.0
1858,518.03,300.751,20.649,0.031,0.756,0.036,22172.01
1859,549.289,297.095,19.715,0.01,0.736,0.015,22173.0
1860,553.648,301.569,22.236,0.083,0.979,0.107,22173.01
1861,340.857,297.527,19.122,0.018,0.914,0.02,22176.0
1862,541.748,298.295,21.153,0.066,0.784,0.092,22180.0
1863,702.832,297.963,20.757,0.143,0.633,0.145,22181.0
1864,163.546,300.412,22.202,0.034,0.865,0.058,22186.0
1865,191.98,299.67,20.692,0.021,0.759,0.028,22187.0
1866,187.984,302.203,19.922,0.024,0.603,0.027,22187.01
1867,187.439,308.182,23.652,0.169,1.225,0.194,22187.02
1868,213.267,299.699,22.827,0.068,1.066,0.192,22188.0
1869,218.207,303.249,21.814,0.048,0.82,0.059,22188.01
1870,278.773,299.943,21.394,0.015,0.891,0.028,22189.0
1871,320.438,299.83,23.502,0.116,1.143,0.127,22190.0
1872,316.84,303.322,24.451,0.282,1.502,0.311,22190.01
1873,312.805,302.385,19.921,0.01,0.724,0.018,22190.02
1874,310.903,306.623,24.078,0.061,1.338,0.097,22190.03
1875,504.988,300.314,21.98,0.043,0.886,0.052,22192.0
1876,82.119,301.223,24.886,0.27,1.476,0.288,22194.0
1877,80.731,305.479,22.796,0.046,0.958,0.087,22194.01
1878,224.75,301.081,21.585,0.026,0.805,0.045,22195.0
1879,240.604,301.025,22.581,0.044,1.151,0.055,22196.0
1880,738.176,305.947,22.585,0.032,0.905,0.041,22201.02
1881,150.175,301.736,21.459,0.019,0.8,0.029,22204.0
1882,198.946,302.153,23.459,0.112,1.174,0.118,22205.0
1883,259.046,301.521,24.06,0.134,1.204,0.148,22206.0
1884,359.127,302.028,22.183,0.045,0.882,0.075,22208.0
1885,31.464,302.679,23.421,0.093,1.154,0.124,22211.0
1886,89.943,302.961,22.927,0.075,0.967,0.147,22212.0
1887,251.777,303.414,20.322,0.007,0.715,0.019,22215.0
1888,526.514,303.053,23.207,0.132,1.097,0.151,22219.0
1889,209.114,304.163,23.281,0.055,1.086,0.121,22221.0
1890,407.782,304.111,22.321,0.053,0.959,0.12,22224.0
1891,413.21,304.299,21.48,0.028,0.782,0.057,22224.01
1892,643.498,303.593,21.962,0.132,0.955,0.14,22226.0
1893,675.223,304.238,24.138,0.229,1.357,0.232,22227.0
1894,453.65,305.473,21.594,0.031,0.854,0.039,22232.0
1895,562.002,305.093,21.77,0.147,0.844,0.154,22233.0
1896,563.221,307.566,23.324,0.06,1.013,0.153,22233.01
1897,7.83,306.343,23.077,0.137,0.957,0.156,22235.0
1898,14.081,309.879,20.992,0.026,0.747,0.039,22235.01
1899,10.936,313.709,20.649,0.026,0.674,0.034,22235.02
1900,335.978,305.918,22.478,0.036,0.973,0.064,22236.0
1901,485.896,306.088,20.058,0.025,0.686,0.031,22237.0
1902,496.468,305.889,19.873,0.021,0.714,0.027,22238.0
1903,494.976,308.652,21.21,0.052,0.762,0.066,22238.01
1904,492.466,312.342,24.598,0.074,1.168,0.136,22238.02
1905,39.215,306.751,22.6,0.042,0.992,0.318,22241.0
1906,61.065,307.275,24.894,0.129,1.71,0.191,22242.0
1907,22.665,309.139,24.853,0.252,1.544,0.256,22248.0
1908,297.319,308.729,24.075,0.253,1.471,0.37,22249.0
1909,471.279,309.121,23.804,0.102,1.089,0.169,22251.0
1910,476.216,308.657,20.624,0.011,0.713,0.03,22251.01
1911,656.585,309.133,22.979,0.038,1.134,0.39,22256.0
1912,110.652,310.157,20.054,0.023,0.706,0.026,22258.0
1913,287.2,309.762,20.24,0.016,0.688,0.025,22260.0
1914,362.983,310.395,22.535,0.042,0.896,0.063,22261.0
1915,666.962,310.114,19.905,0.01,0.681,0.011,22263.0
1916,666.326,316.36,23.431,0.057,1.024,0.107,22263.01
1917,86.611,312.333,22.148,0.074,1.004,0.086,22265.0
1918,569.053,312.66,19.747,0.012,0.74,0.022,22267.0
1919,590.974,312.098,20.657,0.016,0.764,0.025,22268.0
1920,587.827,316.742,24.375,0.2,1.307,0.229,22268.01
1921,729.989,312.258,24.829,0.241,1.457,0.299,22269.0
1922,742.535,311.604,23.008,0.054,0.967,0.088,22270.0
1923,579.513,312.921,21.851,0.034,0.841,0.046,22272.0
1924,164.107,313.603,24.729,0.191,1.473,0.24,22274.0
1925,164.565,317.688,23.089,0.071,1.016,0.092,22274.01
1926,262.6,313.54,23.526,0.057,1.203,0.089,22275.0
1927,392.921,313.76,23.062,0.109,0.881,0.153,22276.0
1928,503.497,313.47,20.762,0.015,0.761,0.043,22277.0
1929,503.613,316.319,21.592,0.027,0.813,0.048,22277.01
1930,509.169,314.47,23.971,0.104,2.209,0.138,22277.02
1931,540.325,313.892,24.089,0.097,1.228,0.226,22279.0
1932,535.633,314.623,23.478,0.05,1.027,0.132,22279.01
1933,546.651,313.935,23.38,0.163,1.08,0.228,22280.0
1934,602.415,313.923,23.239,0.048,1.004,0.115,22281.0
1935,602.989,317.967,20.541,0.026,0.77,0.035,22281.01
1936,596.824,317.391,24.005,0.178,1.282,0.367,22281.02
1937,58.395,314.787,20.111,0.016,0.68,0.034,22282.0
1938,174.151,315.35,24.234,0.144,1.229,0.179,22283.0
1939,176.282,317.366,24.179,0.183,1.327,0.207,22283.01
1940,174.104,321.744,21.073,0.025,0.748,0.039,22283.02
1941,244.313,315.199,19.36,0.018,0.875,0.024,22284.0
1942,318.116,315.426,24.122,0.108,1.266,0.153,22286.0
1943,367.087,314.905,24.254,0.126,1.249,0.256,22287.0
1944,648.288,315.13,21.874,0.058,0.88,0.068,22289.0
1945,35.699,316.234,22.222,0.043,0.915,0.055,22292.0
1946,207.332,316.683,21.109,0.067,0.714,0.086,22293.0
1947,206.814,319.298,22.561,0.165,1.154,0.19,22293.01
1948,273.587,316.356,21.477,0.038,0.777,0.056,22294.0
1949,278.192,316.416,20.503,0.019,0.699,0.031,22294.01
1950,271.853,320.084,24.384,0.176,1.253,0.233,22294.02
1951,523.617,315.962,24.139,0.176,1.269,0.267,22297.0
1952,295.286,316.866,20.65,0.034,0.669,0.093,22301.0
1953,334.32,317.298,22.707,0.085,0.954,0.108,22302.0
1954,614.533,317.015,23.288,0.117,1.013,0.155,22305.0
1955,93.866,318.084,24.234,0.104,1.133,0.181,22308.0
1956,225.377,318.344,22.87,0.025,0.991,0.04,22310.0
1957,409.618,318.496,23.662,0.128,0.889,0.151,22312.0
1958,465.951,317.718,22.396,0.049,0.988,0.052,22313.0
1959,461.247,320.852,22.727,0.1,0.981,0.113,22313.01
1960,457.369,321.997,21.669,0.028,0.828,0.037,22313.02
1961,458.815,326.797,22.183,0.056,0.891,0.075,22313.03
1962,65.287,319.259,25.012,0.155,1.574,0.196,22315.0
