recno,xpos,ypos,Vmag,e_Vmag,V-I,e_V-I,ID
103,371.872,21.289,24.523,0.099,1.541,0.139,20143.02
104,369.472,23.385,22.382,0.027,0.959,0.049,20143.03
105,363.194,20.273,24.103,0.13,1.259,0.149,20143.05
106,402.252,15.16,22.184,0.026,0.872,0.084,20144.0
107,45.184,15.838,23.167,0.101,0.958,0.266,20147.0
108,53.201,16.039,20.331,0.013,0.667,0.02,20148.0
109,56.777,21.406,24.098,0.126,1.284,0.317,20148.01
110,570.274,15.47,24.703,0.021,2.806,0.031,20151.0
111,567.695,19.164,23.149,0.066,1.092,0.096,20151.01
112,22.719,16.823,22.448,0.031,0.868,0.042,20153.0
113,24.467,15.642,22.763,0.062,1.036,0.071,20153.01
114,127.998,17.07,22.817,0.087,1.056,0.117,20154.0
115,157.112,16.642,23.242,0.081,1.174,0.518,20155.0
116,153.844,17.579,22.268,0.044,0.854,0.121,20155.01
117,149.289,21.13,20.833,0.009,0.777,0.072,20155.02
118,154.285,22.905,22.363,0.048,0.874,0.171,20155.03
119,197.943,17.35,19.751,0.01,0.713,0.014,20156.0
120,205.059,18.05,22.525,0.061,0.986,0.074,20156.01
121,585.808,16.798,21.494,0.03,0.749,0.034,20158.0
122,585.42,22.166,21.611,0.032,0.814,0.039,20158.01
123,650.277,16.962,20.211,0.01,0.683,0.024,20159.0
124,8.145,18.424,18.605,0.012,0.91,0.014,20160.0
125,12.119,21.434,20.042,0.047,0.688,0.057,20160.01
126,443.332,17.444,21.683,0.024,0.801,0.032,20167.0
127,715.723,17.931,23.906,0.133,1.206,0.155,20170.0
128,72.11,19.037,22.757,0.066,1.015,0.08,20171.0
129,225.448,18.644,24.158,0.131,1.329,0.216,20173.0
130,395.486,19.039,23.936,0.7,1.06,0.706,20176.0
131,428.466,19.405,24.365,0.096,1.396,0.107,20177.0
132,686.523,19.406,21.474,0.038,0.808,0.044,20179.0
133,468.277,19.702,22.655,0.14,1.019,0.153,20184.0
134,464.944,22.55,21.825,0.065,0.84,0.073,20184.01
135,463.543,27.074,21.376,0.05,0.795,0.057,20184.02
136,617.092,20.054,23.643,0.124,1.101,0.161,20185.0
137,507.966,20.513,23.617,0.109,1.176,0.173,20191.0
138,534.054,21.218,23.18,0.042,0.986,0.152,20192.0
139,574.002,20.804,21.337,0.015,0.792,0.031,20193.0
140,571.009,22.944,25.321,0.081,1.618,0.081,20193.01
141,573.857,26.622,21.863,0.034,0.801,0.055,20193.02
142,604.688,20.879,23.736,0.123,1.276,0.146,20194.0
143,642.849,20.881,23.847,0.197,1.355,0.435,20195.0
144,386.785,21.751,22.907,0.042,0.939,0.059,20199.0
145,433.813,22.098,20.709,0.024,0.758,0.034,20200.0
