recno,xpos,ypos,Vmag,e_Vmag,V-I,e_V-I,B-V,e_B-V,ID
1401,568.075,431.582,20.042,0.063,0.428,0.066,0.439,0.084,8079.0
1402,478.101,435.441,19.858,0.025,0.688,0.045,0.504,0.036,8081.0
1403,521.278,432.655,16.701,0.007,0.263,0.013,0.133,0.01,8082.0
1404,414.025,434.255,19.514,0.043,0.683,0.062,0.538,0.057,8083.0
1405,472.498,437.487,20.861,0.062,0.617,0.076,0.557,0.075,8088.0
1406,577.706,437.773,19.757,0.068,0.622,0.121,0.495,0.087,8090.0
1407,361.335,439.258,20.103,0.036,0.572,0.046,0.652,0.039,8094.0
1408,629.08,440.528,20.114,0.019,0.919,0.069,0.562,0.026,8095.0
1409,729.453,441.774,20.006,0.026,1.056,0.037,0.926,0.042,8097.0
1410,501.03,442.571,19.238,0.054,0.559,0.112,0.545,0.081,8100.0
1411,486.028,443.363,20.228,0.017,0.762,0.041,0.567,0.023,8101.0
1412,485.768,447.367,20.277,0.022,0.744,0.046,0.485,0.031,8102.0
1413,492.88,444.051,20.533,0.094,0.548,0.099,0.627,0.123,8103.0
1414,642.82,444.074,21.922,0.075,1.119,0.089,0.423,0.091,8104.0
1415,636.942,444.405,20.845,0.06,0.759,0.088,0.43,0.086,8105.0
1416,395.652,444.428,20.611,0.026,0.652,0.049,0.413,0.035,8108.0
1417,604.032,444.721,21.429,0.096,0.875,0.129,0.648,0.125,8110.0
1418,585.527,445.352,20.549,0.044,0.663,0.072,0.472,0.057,8111.0
1419,543.97,447.973,19.993,0.03,0.723,0.064,0.498,0.042,8115.0
1420,625.351,448.458,20.319,0.021,0.738,0.038,0.185,0.058,8117.0
1421,406.153,453.792,20.092,0.076,0.641,0.129,0.541,0.097,8125.0
1422,524.962,454.391,21.334,0.053,0.95,0.074,0.573,0.07,8126.0
1423,505.319,463.448,19.036,0.034,0.778,0.036,0.59,0.05,8132.0
1424,421.615,463.615,20.264,0.061,0.512,0.067,0.496,0.076,8133.0
1425,488.004,462.093,20.942,0.04,0.759,0.073,0.667,0.053,8135.0
1426,542.492,462.26,20.025,0.032,0.689,0.053,0.484,0.043,8137.0
1427,572.313,464.188,18.357,0.057,0.78,0.093,0.597,0.081,8140.0
1428,597.948,465.442,19.684,0.019,0.703,0.032,0.508,0.025,8141.0
1429,402.876,465.372,20.89,0.037,0.679,0.059,0.482,0.05,8142.0
1430,534.361,466.256,20.102,0.036,0.633,0.059,0.504,0.051,8144.0
1431,580.365,466.678,19.402,0.031,0.653,0.063,0.483,0.039,8146.0
1432,602.624,467.485,19.914,0.043,0.643,0.087,0.512,0.052,8147.0
1433,584.98,469.345,20.448,0.051,0.681,0.06,0.777,0.057,8151.0
1434,472.579,472.406,20.369,0.04,0.688,0.05,0.471,0.055,8158.0
1435,571.33,473.616,20.251,0.101,0.559,0.132,0.498,0.126,8159.0
1436,441.273,473.818,20.667,0.077,0.657,0.104,0.528,0.099,8161.0
1437,392.685,476.955,19.506,0.044,0.639,0.061,0.516,0.057,8163.0
1438,364.791,483.615,19.245,0.039,0.709,0.045,0.671,0.043,8164.0
1439,468.645,480.394,20.226,0.047,0.722,0.08,0.473,0.058,8167.0
1440,497.261,483.783,19.724,0.046,0.655,0.055,0.512,0.067,8172.0
1441,675.472,484.863,19.796,0.025,0.758,0.05,0.522,0.033,8174.0
1442,418.233,489.935,20.54,0.034,0.841,0.046,0.369,0.044,8175.0
1443,553.001,487.184,19.181,0.042,0.374,0.075,0.281,0.06,8180.0
1444,578.923,488.511,20.295,0.021,0.788,0.033,0.49,0.03,8182.0
1445,407.251,489.056,17.371,0.01,0.967,0.014,0.746,0.016,8187.0
1446,519.878,489.422,20.107,0.032,0.887,0.079,0.192,0.072,8188.0
1447,530.125,490.378,19.882,0.059,0.618,0.102,0.518,0.083,8189.0
1448,493.759,490.827,20.082,0.07,0.541,0.084,0.606,0.085,8192.0
1449,428.785,492.74,19.636,0.022,0.739,0.037,0.571,0.028,8197.0
1450,568.757,493.136,20.08,0.028,0.814,0.035,0.448,0.035,8198.0
1451,628.714,494.248,19.563,0.019,0.763,0.033,0.582,0.027,8200.0
1452,467.955,495.636,21.197,0.056,0.965,0.08,0.667,0.082,8203.0
1453,374.62,495.952,18.789,0.032,0.832,0.047,0.629,0.045,8204.0
1454,354.916,496.537,19.738,0.033,0.677,0.056,0.523,0.041,8205.0
1455,614.881,498.124,19.146,0.036,0.806,0.051,0.68,0.053,8207.0
1456,414.145,498.29,19.122,0.032,0.886,0.048,0.709,0.052,8208.0
1457,554.438,502.181,17.421,0.013,1.014,0.046,0.5,0.059,8209.0
1458,622.714,499.53,20.462,0.043,0.718,0.087,0.474,0.064,8210.0
1459,369.411,499.68,20.195,0.027,0.711,0.049,0.495,0.035,8212.0
1460,392.839,501.035,19.731,0.034,0.68,0.05,0.482,0.045,8213.0
1461,441.403,503.697,20.52,0.044,0.881,0.088,0.64,0.064,8217.0
1462,450.578,504.098,20.782,0.076,0.999,0.086,0.428,0.099,8218.0
1463,691.703,504.249,21.102,0.051,0.762,0.094,0.546,0.076,8219.0
1464,753.807,507.755,20.87,0.028,0.657,0.038,0.503,0.054,8221.0
1465,380.644,505.709,21.098,0.049,0.986,0.072,0.836,0.07,8223.0
1466,445.025,509.59,19.448,0.035,0.727,0.083,0.387,0.055,8226.0
1467,403.812,506.577,20.468,0.032,0.842,0.047,0.499,0.05,8227.0
1468,599.592,507.116,21.839,0.079,1.156,0.11,0.816,0.12,8228.0
1469,409.131,507.335,18.784,0.024,0.881,0.044,0.629,0.033,8229.0
1470,435.361,508.543,20.596,0.052,0.76,0.071,0.568,0.075,8230.0
1471,395.021,509.613,20.212,0.062,0.744,0.091,0.597,0.082,8231.0
1472,502.908,509.989,20.081,0.026,0.786,0.052,0.508,0.032,8233.0
1473,480.084,511.393,20.233,0.039,0.85,0.058,0.608,0.054,8236.0
1474,523.757,511.6,20.092,0.043,1.007,0.047,0.838,0.067,8238.0
1475,618.718,516.653,20.574,0.029,0.739,0.043,0.397,0.045,8240.0
1476,550.86,514.121,20.517,0.041,0.855,0.051,0.581,0.055,8245.0
1477,531.239,518.513,21.52,0.072,1.165,0.083,0.454,0.095,8246.0
1478,751.349,514.678,19.423,0.017,0.793,0.033,0.585,0.023,8247.0
1479,609.041,514.975,19.526,0.027,0.727,0.037,0.533,0.042,8249.0
1480,538.358,515.82,20.623,0.075,0.636,0.127,0.503,0.1,8250.0
1481,651.443,515.785,20.101,0.063,0.623,0.092,0.478,0.087,8252.0
1482,498.345,516.181,19.91,0.03,0.738,0.046,0.496,0.04,8253.0
1483,419.204,517.562,20.124,0.06,0.75,0.128,0.423,0.085,8256.0
1484,435.148,519.333,20.888,0.081,0.751,0.135,0.627,0.115,8257.0
1485,572.796,517.828,21.267,0.076,1.023,0.093,0.527,0.101,8258.0
1486,495.168,519.791,21.695,0.08,1.058,0.111,0.802,0.148,8261.0
1487,503.751,519.648,20.464,0.067,0.678,0.092,0.66,0.092,8262.0
1488,480.996,520.277,20.914,0.041,0.924,0.077,0.52,0.058,8263.0
1489,530.374,525.271,20.685,0.042,0.714,0.059,0.066,0.07,8265.0
1490,448.397,531.345,19.627,0.024,0.881,0.031,0.519,0.028,8272.0
1491,498.736,532.38,20.798,0.035,0.948,0.059,0.659,0.072,8273.0
1492,594.612,532.625,21.033,0.047,0.842,0.083,0.663,0.068,8274.0
1493,673.106,533.579,20.299,0.028,0.722,0.051,0.648,0.039,8278.0
1494,571.653,533.465,20.916,0.064,0.773,0.086,0.665,0.097,8279.0
1495,512.046,536.349,19.027,0.058,0.174,0.083,0.591,0.084,8282.0
1496,576.777,536.819,19.609,0.058,0.597,0.092,0.386,0.075,8283.0
1497,496.609,537.742,19.516,0.057,0.68,0.078,0.419,0.081,8284.0
1498,537.667,538.016,19.598,0.017,0.763,0.031,0.604,0.024,8286.0
1499,471.155,538.59,19.47,0.024,0.781,0.047,0.486,0.034,8289.0
1500,629.836,541.019,21.666,0.1,0.972,0.121,0.261,0.13,8293.0
1501,449.532,544.619,19.632,0.023,0.731,0.035,0.507,0.031,8294.0
1502,593.89,541.52,21.42,0.087,1.27,0.1,0.457,0.106,8295.0
1503,497.888,543.201,20.581,0.063,0.784,0.088,0.715,0.096,8298.0
1504,515.825,544.036,18.839,0.023,0.338,0.043,0.241,0.028,8302.0
1505,660.569,547.43,20.452,0.03,0.788,0.045,0.523,0.038,8309.0
1506,524.418,550.946,20.369,0.041,0.799,0.06,0.587,0.057,8311.0
1507,602.49,548.865,20.475,0.075,0.511,0.085,0.539,0.107,8313.0
1508,587.09,549.395,18.045,0.022,0.894,0.033,0.688,0.034,8314.0
1509,596.761,550.111,19.128,0.033,0.748,0.05,0.562,0.046,8316.0
1510,462.616,550.458,19.668,0.037,0.707,0.057,0.496,0.049,8317.0
1511,538.974,551.06,19.652,0.047,0.675,0.066,0.464,0.062,8318.0
1512,553.073,551.708,20.232,0.038,0.814,0.056,0.341,0.092,8319.0
1513,629.194,552.847,20.385,0.033,0.875,0.075,0.559,0.047,8321.0
1514,666.235,555.909,20.454,0.032,0.706,0.058,0.6,0.04,8324.0
1515,593.599,556.857,20.381,0.078,0.387,0.129,0.356,0.113,8325.0
1516,651.462,557.776,20.545,0.033,0.684,0.07,0.611,0.047,8328.0
1517,575.239,558.559,19.252,0.04,0.714,0.075,0.53,0.052,8329.0
1518,576.337,562.507,19.989,0.049,0.765,0.068,0.549,0.061,8330.0
1519,612.424,561.225,20.603,0.054,0.82,0.081,0.549,0.075,8334.0
1520,547.965,569.79,19.35,0.034,0.761,0.051,0.537,0.046,8342.0
1521,701.93,570.249,20.01,0.03,0.659,0.041,0.498,0.038,8343.0
1522,701.492,574.533,20.354,0.021,0.698,0.046,0.609,0.03,8344.0
1523,704.235,576.085,19.916,0.013,0.786,0.021,0.478,0.018,8345.0
1524,706.784,572.998,19.724,0.024,0.703,0.038,0.498,0.03,8346.0
1525,709.052,576.565,21.015,0.036,0.788,0.073,0.474,0.044,8347.0
1526,535.902,570.828,20.257,0.031,0.807,0.048,0.62,0.045,8348.0
1527,594.06,571.696,19.371,0.031,0.831,0.044,0.629,0.04,8351.0
1528,504.174,571.995,19.822,0.022,0.741,0.047,0.441,0.03,8352.0
1529,566.682,574.425,19.895,0.025,0.787,0.047,0.267,0.046,8354.0
1530,732.931,575.418,20.718,0.04,0.755,0.071,0.562,0.06,8356.0
1531,588.934,576.341,20.187,0.028,0.811,0.04,0.509,0.037,8358.0
1532,442.201,577.298,19.725,0.033,0.697,0.063,0.418,0.046,8360.0
1533,445.116,577.223,19.577,0.029,0.833,0.042,0.519,0.04,8361.0
1534,450.778,578.228,21.83,0.138,1.415,0.149,0.68,0.217,8363.0
1535,690.087,579.146,21.212,0.047,0.836,0.072,0.663,0.059,8365.0
1536,557.383,580.962,19.855,0.025,0.765,0.033,0.451,0.033,8368.0
1537,501.46,579.6,16.713,0.009,1.057,0.016,1.009,0.016,8369.0
1538,579.079,581.8,18.867,0.016,0.924,0.023,0.747,0.022,8376.0
1539,439.755,583.977,19.108,0.078,0.436,0.113,0.558,0.103,8377.0
1540,476.648,582.581,19.958,0.051,0.787,0.069,0.439,0.076,8378.0
1541,638.932,584.596,19.806,0.047,0.676,0.088,0.467,0.065,8381.0
1542,591.327,586.528,19.284,0.062,0.563,0.1,0.442,0.082,8383.0
1543,619.038,587.419,20.014,0.037,0.739,0.071,0.629,0.05,8384.0
1544,491.3,589.509,19.127,0.045,0.623,0.069,0.443,0.059,8389.0
1545,681.018,591.104,18.503,0.021,0.932,0.03,0.715,0.032,8392.0
1546,710.138,594.384,20.936,0.043,0.782,0.08,0.319,0.108,8395.0
1547,570.572,594.781,20.025,0.026,0.774,0.057,0.552,0.035,8397.0
1548,435.25,594.755,19.854,0.039,0.753,0.072,0.4,0.057,8398.0
1549,446.638,597.362,20.383,0.058,0.855,0.083,0.544,0.069,8405.0
1550,594.211,599.872,16.759,0.008,0.266,0.022,0.127,0.011,8408.0
1551,699.084,600.441,20.598,0.023,0.744,0.044,0.521,0.034,8409.0
1552,476.052,600.705,19.886,0.04,0.767,0.069,0.471,0.052,8411.0
1553,470.099,602.392,19.854,0.037,0.789,0.083,0.388,0.046,8413.0
1554,553.809,603.337,19.486,0.034,0.748,0.064,0.53,0.043,8415.0
1555,484.237,604.646,20.594,0.053,0.925,0.071,0.496,0.07,8418.0
1556,634.123,605.876,20.687,0.039,0.764,0.065,0.576,0.05,8420.0
1557,439.275,608.444,20.978,0.081,0.893,0.113,0.799,0.129,8423.0
1558,508.468,609.576,20.158,0.057,0.791,0.074,0.57,0.079,8424.0
1559,461.031,610.138,19.753,0.051,0.618,0.075,0.449,0.072,8426.0
1560,456.849,611.149,19.825,0.062,0.665,0.104,0.374,0.086,8427.0
1561,554.797,610.726,20.473,0.044,0.667,0.059,0.672,0.055,8429.0
1562,592.708,611.585,19.618,0.036,0.7,0.072,0.583,0.048,8430.0
1563,466.444,613.001,19.255,0.026,0.965,0.035,0.617,0.037,8435.0
1564,715.572,615.949,19.964,0.05,0.66,0.099,0.535,0.067,8440.0
1565,452.438,615.872,20.484,0.077,0.758,0.127,0.509,0.101,8441.0
1566,574.087,617.246,21.24,0.095,1.11,0.106,0.513,0.12,8442.0
1567,460.796,617.836,19.396,0.071,0.534,0.098,0.55,0.093,8444.0
1568,628.447,622.699,21.038,0.029,0.794,0.054,0.572,0.043,8448.0
1569,606.904,623.5,20.99,0.05,0.782,0.085,0.715,0.068,8449.0
1570,715.742,623.609,19.969,0.056,0.713,0.094,0.513,0.077,8450.0
1571,508.811,623.481,19.32,0.022,0.777,0.066,0.477,0.03,8451.0
1572,548.313,627.179,19.808,0.045,0.682,0.055,0.438,0.07,8452.0
1573,573.659,625.001,20.023,0.044,0.605,0.067,0.585,0.054,8453.0
1574,514.432,628.963,20.02,0.03,0.629,0.062,0.381,0.04,8462.0
1575,580.624,635.03,18.736,0.04,0.672,0.068,0.564,0.055,8467.0
1576,645.652,632.527,19.417,0.054,0.582,0.079,0.603,0.061,8469.0
1577,537.318,634.236,19.665,0.029,0.691,0.052,0.45,0.036,8475.0
1578,627.124,634.618,19.664,0.024,0.69,0.046,0.55,0.033,8476.0
1579,534.005,637.245,19.643,0.03,0.753,0.048,0.534,0.045,8483.0
1580,695.276,639.935,20.098,0.026,0.631,0.037,0.503,0.037,8486.0
1581,596.412,641.093,19.652,0.037,0.748,0.059,0.556,0.05,8489.0
1582,531.703,643.496,20.453,0.032,0.805,0.057,0.62,0.057,8495.0
1583,650.774,644.689,20.123,0.016,0.719,0.025,0.497,0.024,8498.0
1584,684.047,647.127,19.072,0.027,0.858,0.037,0.656,0.04,8503.0
1585,559.42,648.92,20.099,0.03,0.729,0.048,0.515,0.042,8505.0
1586,581.545,649.88,19.227,0.016,0.751,0.035,0.509,0.023,8508.0
1587,508.675,650.723,19.05,0.024,0.87,0.035,0.62,0.037,8511.0
1588,519.676,652.162,19.562,0.025,0.763,0.039,0.513,0.033,8512.0
1589,618.231,657.26,19.431,0.028,0.688,0.045,0.509,0.04,8520.0
1590,533.65,658.643,20.239,0.041,0.738,0.093,0.457,0.054,8523.0
1591,693.156,659.292,19.748,0.058,0.533,0.077,0.492,0.085,8524.0
1592,539.208,659.755,19.205,0.031,0.73,0.058,0.518,0.04,8526.0
1593,590.941,665.75,19.235,0.076,0.403,0.113,0.477,0.1,8527.0
1594,622.76,661.247,19.711,0.034,0.644,0.039,0.506,0.047,8530.0
1595,635.039,666.051,20.262,0.025,0.638,0.038,0.471,0.038,8535.0
1596,632.302,666.688,20.287,0.019,0.892,0.031,0.522,0.03,8536.0
1597,538.22,666.401,21.029,0.053,1.499,0.077,0.476,0.096,8539.0
1598,551.866,667.874,19.081,0.033,0.785,0.046,0.596,0.05,8541.0
1599,576.407,676.266,20.079,0.048,0.639,0.066,0.479,0.068,8546.0
1600,623.646,677.474,21.48,0.065,0.867,0.114,0.64,0.08,8547.0
1601,659.776,679.268,21.076,0.034,0.758,0.07,0.446,0.043,8552.0
1602,648.879,679.554,19.775,0.027,1.318,0.035,1.077,0.047,8553.0
1603,603.529,680.002,19.306,0.049,0.937,0.063,0.887,0.057,8556.0
1604,497.65,680.997,21.206,0.087,1.08,0.11,0.542,0.108,8558.0
1605,555.742,682.048,20.319,0.041,0.72,0.058,0.524,0.052,8559.0
1606,650.955,684.122,20.19,0.031,0.67,0.062,0.513,0.039,8562.0
1607,553.183,686.121,21.569,0.12,0.903,0.148,0.64,0.156,8564.0
1608,667.219,689.043,19.396,0.023,0.77,0.042,0.531,0.031,8569.0
1609,700.073,689.311,19.265,0.058,0.46,0.068,0.489,0.084,8570.0
1610,560.211,689.767,19.545,0.049,0.69,0.065,0.455,0.07,8573.0
1611,519.046,694.981,19.7,0.013,0.749,0.018,0.558,0.021,8575.0
1612,539.815,692.043,21.917,0.134,1.229,0.152,0.555,0.167,8576.0
1613,680.962,692.683,20.158,0.033,0.713,0.045,0.44,0.041,8577.0
1614,560.085,694.973,20.118,0.043,0.711,0.095,0.587,0.058,8584.0
1615,538.469,700.797,20.127,0.04,0.576,0.058,0.379,0.057,8586.0
1616,565.651,699.403,20.321,0.056,0.661,0.09,0.576,0.078,8590.0
1617,664.482,702.225,20.857,0.053,0.766,0.099,0.732,0.062,8595.0
1618,539.782,706.383,19.535,0.048,0.681,0.086,0.472,0.067,8599.0
1619,625.775,708.686,20.456,0.02,0.738,0.033,0.561,0.026,8602.0
1620,505.267,709.145,19.828,0.035,0.659,0.084,0.482,0.044,8605.0
1621,570.666,711.557,19.652,0.03,0.689,0.033,0.322,0.056,8611.0
1622,520.147,714.998,20.137,0.022,0.733,0.052,0.492,0.03,8615.0
1623,659.629,715.251,20.726,0.039,0.832,0.073,0.733,0.056,8616.0
1624,597.859,715.884,21.449,0.041,1.022,0.06,0.702,0.065,8617.0
1625,510.797,718.388,19.338,0.065,0.476,0.067,0.452,0.086,8618.0
1626,506.522,729.644,18.725,0.025,0.904,0.038,0.671,0.035,8635.0
1627,531.295,733.46,20.309,0.043,0.514,0.059,0.422,0.056,8640.0
1628,495.439,733.454,20.233,0.042,0.712,0.067,0.551,0.053,8641.0
1629,679.78,746.561,21.261,0.033,0.777,0.059,0.725,0.049,8655.0
1630,527.441,748.267,19.312,0.015,0.931,0.026,0.675,0.021,8662.0
1631,610.078,755.395,20.489,0.038,0.759,0.07,0.515,0.053,8672.0
1632,571.075,755.987,19.331,0.02,0.75,0.029,0.532,0.027,8673.0
1633,625.057,768.7,19.969,0.016,0.723,0.029,0.473,0.029,8687.0
1634,661.802,778.198,20.703,0.034,0.705,0.045,0.55,0.084,8695.0
1635,658.953,779.711,19.665,0.011,0.784,0.016,0.392,0.035,8696.0
1636,447.402,321.476,20.192,0.016,0.716,0.024,0.422,0.036,8863.0
1637,422.993,336.302,19.497,0.056,0.599,0.076,0.498,0.072,8869.0
1638,394.366,337.195,20.919,0.031,0.735,0.061,0.578,0.045,8870.0
1639,461.79,347.17,20.258,0.074,0.418,0.127,0.515,0.09,8871.0
1640,428.962,349.86,20.206,0.062,0.485,0.067,0.461,0.091,8872.0
1641,405.014,358.102,20.32,0.026,0.719,0.05,0.483,0.035,8875.0
1642,506.441,363.834,20.44,0.055,0.646,0.084,0.468,0.076,8876.0
1643,420.338,365.505,20.754,0.059,0.654,0.111,0.59,0.072,8877.0
1644,439.049,372.888,20.351,0.042,0.678,0.049,0.476,0.069,8878.0
1645,508.219,381.048,21.21,0.064,0.824,0.091,0.608,0.083,8880.0
1646,478.094,387.766,20.323,0.099,0.439,0.142,0.637,0.145,8884.0
1647,409.224,392.315,20.067,0.042,0.626,0.062,0.534,0.056,8887.0
1648,428.657,393.375,20.52,0.03,0.76,0.067,0.629,0.036,8888.0
1649,524.425,399.645,21.279,0.068,0.819,0.116,0.759,0.097,8889.0
1650,429.823,404.834,18.352,0.036,0.904,0.048,0.325,0.069,8891.0
1651,652.034,411.306,20.645,0.088,0.528,0.124,0.602,0.124,8894.0
1652,557.706,417.19,20.199,0.059,0.673,0.124,0.482,0.074,8896.0
1653,415.011,417.334,20.22,0.03,0.689,0.067,0.497,0.046,8897.0
1654,436.332,430.414,19.221,0.047,0.604,0.072,0.499,0.064,8899.0
1655,728.442,435.075,19.436,0.012,0.826,0.024,0.622,0.016,8902.0
1656,526.901,435.37,19.908,0.021,0.689,0.028,0.493,0.03,8903.0
1657,537.105,437.841,20.401,0.027,0.597,0.056,0.311,0.036,8904.0
1658,424.576,437.966,19.822,0.04,0.694,0.058,0.508,0.066,8905.0
1659,629.759,446.38,20.863,0.074,0.792,0.095,0.453,0.113,8908.0
1660,459.623,448.042,20.147,0.038,0.752,0.069,0.597,0.045,8910.0
1661,566.394,449.938,20.145,0.088,0.514,0.096,0.72,0.095,8912.0
1662,709.928,450.359,20.363,0.062,0.616,0.097,0.536,0.088,8913.0
1663,491.14,452.978,20.212,0.045,0.676,0.069,0.466,0.054,8914.0
1664,589.762,463.961,19.493,0.055,0.549,0.059,0.515,0.076,8915.0
1665,592.714,467.082,17.833,0.011,0.939,0.02,0.712,0.016,8916.0
1666,740.846,470.14,20.34,0.071,0.636,0.097,0.485,0.112,8917.0
1667,527.265,471.57,20.102,0.021,0.778,0.033,0.138,0.067,8918.0
1668,674.338,477.693,19.007,0.054,0.661,0.097,0.53,0.069,8920.0
1669,396.676,484.974,19.101,0.014,0.457,0.035,0.325,0.017,8921.0
1670,638.144,486.883,20.83,0.027,1.009,0.065,0.301,0.086,8922.0
1671,443.51,492.232,19.759,0.045,0.657,0.094,0.544,0.06,8923.0
1672,578.19,493.26,19.888,0.017,0.781,0.043,0.535,0.023,8924.0
1673,700.863,494.018,19.319,0.053,0.542,0.087,0.484,0.073,8925.0
1674,430.71,498.428,19.178,0.044,0.602,0.077,0.478,0.061,8926.0
1675,570.633,504.733,19.061,0.041,0.73,0.078,0.44,0.056,8927.0
1676,595.67,517.41,19.567,0.057,0.552,0.102,0.443,0.074,8933.0
1677,485.783,523.047,20.167,0.035,0.957,0.043,0.29,0.046,8936.0
1678,602.523,525.172,17.106,0.015,0.163,0.03,0.079,0.018,8938.0
1679,474.231,535.235,19.211,0.027,0.624,0.034,0.437,0.034,8941.0
1680,620.601,542.139,19.617,0.052,0.584,0.083,0.629,0.064,8943.0
1681,486.073,544.067,19.769,0.035,0.743,0.065,0.484,0.046,8945.0
1682,482.864,545.325,19.847,0.066,0.595,0.077,0.444,0.085,8946.0
1683,571.824,550.648,19.43,0.029,0.756,0.045,0.58,0.038,8948.0
1684,485.903,559.016,19.615,0.028,0.802,0.056,0.519,0.04,8951.0
1685,552.669,560.849,19.079,0.018,0.845,0.032,0.556,0.023,8952.0
1686,442.172,562.805,19.422,0.046,0.645,0.072,0.502,0.059,8953.0
1687,476.188,577.37,19.321,0.062,0.597,0.105,0.466,0.078,8961.0
1688,600.982,594.672,19.217,0.034,0.781,0.046,0.607,0.047,8964.0
1689,437.423,598.1,18.585,0.03,0.301,0.05,0.192,0.036,8966.0
1690,431.404,600.26,20.116,0.057,0.617,0.074,0.5,0.084,8967.0
1691,599.337,602.5,19.958,0.03,0.717,0.054,0.535,0.05,8968.0
1692,622.365,606.706,19.951,0.044,0.636,0.07,0.504,0.059,8970.0
1693,574.508,611.272,21.021,0.087,1.107,0.116,0.79,0.11,8975.0
1694,603.703,615.12,22.197,0.086,1.215,0.139,0.908,0.169,8976.0
1695,609.807,617.06,19.751,0.055,0.484,0.065,0.53,0.074,8978.0
1696,496.119,623.166,17.927,0.025,0.92,0.034,0.688,0.041,8980.0
1697,483.316,630.823,19.181,0.054,0.794,0.068,0.568,0.08,8983.0
1698,524.998,638.497,18.691,0.026,0.877,0.037,0.639,0.035,8985.0
1699,687.827,650.103,20.329,0.033,0.741,0.052,0.516,0.05,8990.0
1700,628.923,650.345,19.989,0.064,0.628,0.101,0.469,0.088,8991.0
1701,643.017,662.6,20.468,0.085,0.56,0.123,0.601,0.122,8993.0
1702,638.931,662.591,19.349,0.033,0.676,0.055,0.529,0.046,8994.0
1703,521.798,664.183,17.729,0.045,0.818,0.089,0.673,0.063,8996.0
1704,563.377,665.08,20.11,0.042,0.685,0.073,0.43,0.054,8999.0
1705,676.47,667.432,19.439,0.04,0.667,0.068,0.48,0.049,9000.0
1706,570.946,672.105,19.167,0.025,0.824,0.04,0.635,0.036,9006.0
1707,520.744,688.563,20.691,0.088,0.572,0.108,0.502,0.12,9014.0
1708,517.908,699.215,20.869,0.049,0.845,0.068,0.49,0.069,9020.0
1709,647.093,706.229,21.155,0.064,1.035,0.102,0.698,0.086,9023.0
1710,614.098,713.576,20.33,0.044,0.714,0.07,0.531,0.063,9025.0
1711,641.268,736.209,19.759,0.019,0.753,0.028,0.11,0.06,9033.0
1712,665.98,738.967,21.075,0.073,0.767,0.108,0.665,0.1,9036.0
1713,563.345,739.109,20.211,0.087,0.513,0.127,0.589,0.109,9037.0
1714,612.768,740.288,20.904,0.043,0.814,0.097,0.229,0.083,9039.0
1715,678.98,755.281,20.776,0.019,0.735,0.036,0.469,0.032,9046.0
1716,637.045,759.667,20.697,0.056,0.625,0.072,0.574,0.083,9049.0
1717,526.05,351.036,20.871,0.039,0.72,0.071,0.554,0.053,9108.0
1718,585.942,357.937,21.375,0.051,0.819,0.104,0.335,0.097,9111.0
1719,656.493,392.827,20.427,0.051,0.583,0.066,0.55,0.061,9114.0
1720,575.367,418.386,18.257,0.017,0.944,0.025,0.695,0.026,9118.0
1721,562.82,429.556,19.615,0.057,0.624,0.096,0.478,0.076,9121.0
1722,683.185,432.165,17.979,0.023,0.891,0.038,0.691,0.031,9122.0
1723,480.084,432.478,19.79,0.042,0.555,0.077,0.4,0.067,9123.0
1724,711.484,437.019,20.012,0.047,0.594,0.088,0.557,0.058,9126.0
1725,375.301,447.779,19.535,0.033,0.626,0.057,0.532,0.042,9129.0
1726,588.71,455.249,20.888,0.053,0.789,0.093,0.491,0.071,9132.0
1727,656.912,464.42,20.14,0.052,0.698,0.093,0.492,0.067,9134.0
1728,551.752,469.229,19.398,0.132,0.58,0.154,0.928,0.142,9135.0
1729,758.255,476.429,20.503,0.046,0.616,0.072,0.492,0.069,9138.0
1730,466.661,476.047,20.752,0.049,0.716,0.083,0.521,0.059,9139.0
1731,502.236,480.874,19.358,0.073,0.523,0.1,0.523,0.092,9140.0
1732,362.574,481.027,20.687,0.063,0.784,0.084,0.267,0.09,9141.0
1733,709.206,491.496,20.505,0.058,0.598,0.09,0.616,0.085,9144.0
1734,613.819,492.981,18.537,0.066,0.337,0.122,0.33,0.084,9145.0
1735,473.417,503.582,20.158,0.063,0.635,0.102,0.482,0.082,9146.0
1736,645.211,514.96,20.233,0.047,0.659,0.093,0.56,0.066,9147.0
1737,614.725,515.695,20.234,0.03,0.703,0.047,0.315,0.06,9148.0
1738,678.079,524.808,19.413,0.016,0.724,0.036,0.489,0.025,9152.0
1739,491.837,539.315,16.922,0.013,0.192,0.026,0.087,0.018,9153.0
1740,522.473,548.291,20.486,0.052,0.838,0.091,0.771,0.079,9155.0
1741,532.049,555.86,19.164,0.042,0.689,0.077,0.503,0.055,9158.0
1742,722.577,562.887,20.113,0.086,0.381,0.14,0.515,0.113,9160.0
1743,548.971,564.031,20.923,0.044,0.863,0.105,0.451,0.061,9161.0
1744,590.829,564.941,18.985,0.046,0.686,0.076,0.594,0.062,9162.0
1745,534.69,587.252,19.909,0.067,0.505,0.094,0.446,0.095,9165.0
1746,632.776,591.247,19.625,0.07,0.166,0.076,0.504,0.088,9167.0
1747,529.247,594.476,20.429,0.067,0.746,0.134,0.544,0.093,9170.0
1748,683.938,597.048,21.068,0.101,0.657,0.128,0.502,0.151,9171.0
