No,Xpos,Ypos,Vmag,V-I
177,446.17,311.89,21.378,3.469
178,692.77,311.92,21.471,3.294
179,559.34,312.48,22.133,2.564
180,323.24,313.45,15.64,1.081
181,221.41,314.14,22.093,3.125
182,110.77,315.49,20.564,3.091
183,918.8,315.97,20.542,2.995
184,168.45,319.3,22.849,2.815
185,308.02,319.9,20.25,3.165
186,933.76,319.92,21.229,2.444
187,522.35,320.48,20.439,3.177
188,478.03,320.9,20.094,2.918
189,758.65,321.91,21.252,3.243
190,1016.11,324.78,20.52,2.571
191,573.0,325.25,21.138,3.043
192,821.36,326.3,20.802,3.241
193,100.03,328.35,22.511,2.853
194,584.62,329.57,20.406,2.956
195,476.39,330.42,21.917,3.448
196,198.97,331.35,23.136,2.915
197,353.01,335.91,18.825,3.43
198,683.87,339.2,22.853,2.899
199,743.9,339.65,19.837,3.1
200,382.33,339.81,18.601,3.453
201,416.74,343.14,20.415,2.935
202,403.3,344.5,21.217,3.178
203,909.75,344.76,23.669,2.767
204,864.75,349.07,20.903,3.165
205,376.0,349.2,21.759,3.308
206,740.13,349.89,19.416,3.086
207,552.06,350.33,18.391,3.342
208,616.22,352.03,21.424,2.606
209,577.14,354.84,19.683,3.002
210,482.86,355.12,21.536,2.982
211,723.34,356.85,18.784,2.168
212,878.17,362.75,21.504,3.392
213,833.92,362.87,19.933,2.335
214,285.98,363.0,20.145,3.193
215,150.39,363.11,17.658,1.436
216,685.42,363.21,21.395,3.067
217,260.47,364.2,21.716,3.037
218,473.52,364.66,25.015,3.865
219,902.19,365.27,22.199,3.398
220,887.45,366.54,20.523,3.019
221,77.28,366.86,22.002,3.306
222,862.91,367.4,21.279,3.011
223,608.32,367.44,22.464,3.005
224,350.09,367.86,21.327,3.145
225,779.88,370.02,21.735,3.186
226,411.83,370.8,19.289,2.196
227,273.95,373.27,21.832,3.248
228,168.27,373.28,20.176,3.203
229,906.9,375.36,21.234,3.182
230,323.18,375.36,22.01,3.548
231,888.4,375.67,20.532,3.082
232,739.96,376.29,21.741,3.12
233,562.34,376.47,18.555,3.315
234,349.69,377.11,20.41,2.925
235,315.26,377.53,21.819,2.963
236,479.96,379.68,20.147,2.901
237,38.03,379.81,18.246,3.409
238,156.02,380.62,20.038,3.044
239,522.2,381.49,20.413,3.018
240,258.06,382.1,21.077,3.069
241,825.21,383.35,22.695,3.069
242,251.06,386.96,22.346,2.977
243,24.65,389.78,20.683,2.977
244,1004.03,393.54,21.861,3.842
245,20.14,394.91,22.304,2.747
246,287.75,395.01,22.179,3.02
247,98.92,396.14,20.622,2.736
248,687.57,396.19,23.838,3.101
249,755.98,396.57,19.958,3.099
250,774.82,399.21,19.815,3.245
251,574.08,399.4,22.099,3.097
252,305.45,400.25,21.076,3.117
253,872.35,400.82,22.153,2.819
254,430.09,401.58,20.246,2.877
255,504.85,402.54,20.613,3.248
256,146.72,402.93,21.383,3.098
257,75.31,403.08,21.835,2.567
258,30.42,405.92,21.234,2.956
259,605.75,407.39,19.477,3.294
260,322.95,409.06,19.678,3.317
261,1003.39,411.54,23.288,3.475
262,821.39,412.91,22.095,2.615
263,505.04,412.92,21.316,2.464
264,535.92,412.97,19.496,3.318
265,374.15,413.77,19.602,2.384
266,487.28,415.28,21.644,2.821
267,563.36,416.0,18.983,2.102
268,401.06,416.75,19.889,3.064
269,386.1,417.75,20.1,2.852
270,572.03,419.33,21.099,3.392
271,56.92,419.48,19.543,3.475
272,998.0,420.49,20.988,3.458
273,638.52,420.59,20.028,3.025
274,737.73,422.81,18.731,3.359
275,507.79,424.3,21.248,2.838
276,280.62,425.42,18.276,3.541
277,66.87,425.58,19.706,3.226
278,27.69,426.03,21.147,2.623
279,411.49,426.41,20.243,2.853
280,407.26,431.71,20.279,2.953
281,519.98,432.33,20.157,2.861
282,440.45,433.16,20.396,3.078
283,701.77,433.71,22.167,3.182
284,40.28,434.99,21.129,2.299
285,381.29,440.06,19.95,3.638
286,312.07,440.28,20.466,3.023
287,188.63,440.55,20.653,3.084
288,503.73,440.88,21.707,3.089
289,177.8,442.7,18.09,3.643
290,934.18,443.41,20.423,5.497
291,461.59,444.81,20.314,3.193
292,217.4,445.04,21.204,3.109
293,373.9,446.74,19.378,3.106
294,53.32,448.55,21.039,3.041
295,335.58,450.53,19.573,3.29
296,452.17,451.61,19.423,3.087
297,574.45,452.59,22.423,2.861
298,465.42,452.63,19.991,3.137
299,545.51,454.44,20.883,3.145
300,807.12,455.85,22.175,2.642
301,301.5,456.83,20.528,2.979
302,672.46,457.03,19.394,3.214
303,565.63,457.52,18.99,3.382
304,369.01,461.23,20.918,2.931
305,244.85,461.8,19.702,3.253
306,129.86,462.21,20.141,4.18
307,16.86,462.53,20.41,3.763
308,315.79,463.19,21.375,3.11
309,404.41,464.49,20.483,2.997
310,669.26,464.77,19.301,3.306
